Iteration	LLH	NumNodes
145	-1748041.371270	2
146	-1748041.205067	2
147	-1748041.441002	2
148	-1748041.180574	2
149	-1748041.694644	2
150	-1748041.281146	2
151	-1748041.763778	2
152	-1748041.616372	2
153	-1748041.143707	2
154	-1748041.181532	2
155	-1748041.282559	2
156	-1748041.236819	2
157	-1748041.216752	2
158	-1748041.176971	2
159	-1748042.251451	2
160	-1748041.145569	2
161	-1748041.630738	2
162	-1748041.223851	2
163	-1748041.579746	2
164	-1748041.185094	2
165	-1748041.287918	2
166	-1748041.155690	2
167	-1748041.210082	2
168	-1748042.575876	2
169	-1748041.383818	2
170	-1748041.755357	2
171	-1748041.143270	2
172	-1748041.351330	2
173	-1748042.808949	2
174	-1748041.244250	2
175	-1748042.436345	2
176	-1748041.515353	2
177	-1748041.764568	2
178	-1748041.322490	2
179	-1748041.791124	2
180	-1748042.697773	2
181	-1748041.347907	2
182	-1748042.107115	2
183	-1748042.689419	2
184	-1748042.627802	2
185	-1748041.465938	2
186	-1748041.245173	2
187	-1748042.423093	2
188	-1748041.326689	2
189	-1748041.812826	2
190	-1748041.321829	2
191	-1748041.207191	2
192	-1748041.538989	2
193	-1748041.911022	2
194	-1748041.852037	2
195	-1748041.919475	2
196	-1748041.141864	2
197	-1748041.141864	2
198	-1748041.234284	2
199	-1748041.479238	2
200	-1748041.974488	2
201	-1748042.408628	2
202	-1748041.198353	2
203	-1748043.635929	2
204	-1748041.379110	2
205	-1748042.484890	2
206	-1748042.221634	2
207	-1748042.597887	2
208	-1748041.782410	2
209	-1748041.537163	2
210	-1748041.511546	2
211	-1748041.265560	2
212	-1748041.186948	2
213	-1748041.229476	2
214	-1748041.468494	2
215	-1748043.007898	2
216	-1748041.525368	2
217	-1748042.139360	2
218	-1748042.264548	2
219	-1748042.357180	2
220	-1748043.496616	2
221	-1748041.152890	2
222	-1748041.146439	2
223	-1748041.285300	2
224	-1748041.141864	2
225	-1748041.144243	2
226	-1748045.492585	2
227	-1748041.554589	2
228	-1748041.947048	2
229	-1748042.667010	2
230	-1748041.827481	2
231	-1748041.594464	2
232	-1748042.799030	2
233	-1748041.615387	2
234	-1748041.164631	2
235	-1748041.781407	2
236	-1748041.556331	2
237	-1748043.850837	2
238	-1748044.116231	2
239	-1748041.988022	2
240	-1748043.345302	2
241	-1748043.632278	2
242	-1748041.367205	2
243	-1748041.683624	2
244	-1748041.285997	2
245	-1748042.292260	2
246	-1748042.339962	2
247	-1748045.136411	2
248	-1748042.029960	2
249	-1748042.898655	2
250	-1748044.138931	2
251	-1748042.180041	2
252	-1748041.722621	2
253	-1748041.149300	2
254	-1748041.963814	2
255	-1748041.154498	2
256	-1748041.142010	2
257	-1748041.190084	2
258	-1748041.143868	2
259	-1748041.164163	2
260	-1748041.141930	2
261	-1748041.206751	2
262	-1748042.404357	2
263	-1748042.354187	2
264	-1748042.766693	2
265	-1748041.847558	2
266	-1748041.659722	2
267	-1748041.245298	2
268	-1748041.505981	2
269	-1748041.435061	2
270	-1748041.210228	2
271	-1748041.354173	2
272	-1748041.653025	2
273	-1748044.147769	2
274	-1748041.428641	2
275	-1748042.394874	2
276	-1748042.209520	2
277	-1748041.272122	2
278	-1748042.324995	2
279	-1748041.991555	2
280	-1748041.255576	2
281	-1748041.144249	2
282	-1748041.175180	2
283	-1748041.849597	2
284	-1748041.592890	2
285	-1748041.401224	2
286	-1748041.954503	2
287	-1748041.297215	2
288	-1748042.374096	2
289	-1748041.869834	2
290	-1748041.419684	2
291	-1748042.868973	2
292	-1748041.579441	2
293	-1748043.764564	2
294	-1748042.768412	2
295	-1748041.562467	2
296	-1748041.308967	2
297	-1748042.517358	2
298	-1748042.985301	2
299	-1748041.273358	2
300	-1748042.132776	2
301	-1748041.487301	2
302	-1748041.777582	2
303	-1748041.267066	2
304	-1748042.540939	2
305	-1748043.197350	2
306	-1748041.281401	2
307	-1748041.767117	2
308	-1748041.446724	2
309	-1748041.168274	2
310	-1748041.148834	2
311	-1748041.577553	2
312	-1748041.141864	2
313	-1748041.145964	2
314	-1748041.150355	2
315	-1748041.142035	2
316	-1748041.142481	2
317	-1748041.341726	2
318	-1748042.590188	2
319	-1748042.171394	2
320	-1748041.143868	2
321	-1748041.141864	2
322	-1748041.141864	2
323	-1748041.296330	2
324	-1748042.486001	2
325	-1748041.142068	2
326	-1748041.142649	2
327	-1748041.143503	2
328	-1748041.160087	2
329	-1748041.239836	2
330	-1748041.141864	2
331	-1748041.158313	2
332	-1748041.143858	2
333	-1748041.141864	2
334	-1748041.487199	2
335	-1748041.452464	2
336	-1748041.337989	2
337	-1748041.850005	2
338	-1748042.042073	2
339	-1748042.358121	2
340	-1748041.649966	2
341	-1748041.250298	2
342	-1748041.302449	2
343	-1748041.173752	2
344	-1748041.257068	2
345	-1748041.443943	2
346	-1748041.170705	2
347	-1748041.141876	2
348	-1748041.141994	2
349	-1748041.249053	2
350	-1748041.146707	2
351	-1748041.538277	2
352	-1748041.231185	2
353	-1748041.341843	2
354	-1748041.143025	2
355	-1748042.762357	2
356	-1748042.013763	2
357	-1748043.331943	2
358	-1748041.247250	2
359	-1748042.207016	2
360	-1748041.268065	2
361	-1748041.205368	2
362	-1748041.169732	2
363	-1748041.141864	2
364	-1748041.141864	2
365	-1748041.141933	2
366	-1748041.144649	2
367	-1748041.141864	2
368	-1748041.143522	2
369	-1748041.142905	2
370	-1748041.652486	2
371	-1748041.464537	2
372	-1748041.812245	2
373	-1748041.146886	2
374	-1748041.172348	2
375	-1748042.056393	2
376	-1748042.022158	2
377	-1748041.225830	2
378	-1748041.186328	2
379	-1748041.525008	2
380	-1748041.141864	2
381	-1748041.159881	2
382	-1748041.142119	2
383	-1748041.158335	2
384	-1748045.521691	2
385	-1748044.103326	2
386	-1748041.634700	2
387	-1748041.141864	2
388	-1748041.142762	2
389	-1748041.189629	2
390	-1748041.740661	2
391	-1748042.205173	2
392	-1748041.556007	2
393	-1748042.346388	2
394	-1748041.362183	2
395	-1748041.141962	2
396	-1748041.141864	2
397	-1748041.440599	2
398	-1748041.974160	2
399	-1748041.183817	2
400	-1748041.149165	2
401	-1748041.142995	2
402	-1748043.838239	2
403	-1748041.688889	2
404	-1748042.488916	2
405	-1748041.142076	2
406	-1748041.189931	2
407	-1748041.142202	2
408	-1748041.163441	2
409	-1748041.143457	2
410	-1748041.536200	2
411	-1748041.314896	2
412	-1748041.496262	2
413	-1748041.163445	2
414	-1748041.150246	2
415	-1748041.141864	2
416	-1748041.142999	2
417	-1748041.141864	2
418	-1748041.142977	2
419	-1748041.943666	2
420	-1748041.689384	2
421	-1748042.299132	2
422	-1748042.747283	2
423	-1748042.422856	2
424	-1748041.906194	2
425	-1748041.866568	2
426	-1748041.141933	2
427	-1748041.141864	2
428	-1748041.147526	2
429	-1748041.200894	2
430	-1748041.149068	2
431	-1748041.482131	2
432	-1748041.867839	2
433	-1748042.032613	2
434	-1748044.477397	2
435	-1748041.769011	2
436	-1748042.033285	2
437	-1748041.240249	2
438	-1748041.143076	2
439	-1748041.144633	2
440	-1748041.237889	2
441	-1748042.418025	2
442	-1748041.861300	2
443	-1748041.283331	2
444	-1748042.488803	2
445	-1748042.595507	2
446	-1748041.143378	2
447	-1748041.238564	2
448	-1748041.225027	2
449	-1748041.536474	2
450	-1748041.224523	2
451	-1748041.773372	2
452	-1748042.275427	2
453	-1748041.565054	2
454	-1748041.661524	2
455	-1748041.389350	2
456	-1748041.172697	2
457	-1748041.807166	2
458	-1748043.799646	2
459	-1748045.908387	2
460	-1748041.283722	2
461	-1748041.368945	2
462	-1748041.669032	2
463	-1748041.141864	2
464	-1748041.141864	2
465	-1748041.205822	2
466	-1748041.402607	2
467	-1748041.540546	2
468	-1748041.142691	2
469	-1748041.141886	2
470	-1748041.204859	2
471	-1748041.854695	2
472	-1748043.989298	2
473	-1748041.430562	2
474	-1748041.303409	2
475	-1748041.531230	2
476	-1748041.302417	2
477	-1748041.495572	2
478	-1748042.279426	2
479	-1748042.816123	2
480	-1748041.966020	2
481	-1748043.951536	2
482	-1748041.816043	2
483	-1748042.782624	2
484	-1748041.571669	2
485	-1748041.929829	2
486	-1748041.180418	2
487	-1748041.141864	2
488	-1748041.470420	2
489	-1748042.829558	2
490	-1748041.592736	2
491	-1748041.151014	2
492	-1748041.147849	2
493	-1748041.142000	2
494	-1748041.144822	2
495	-1748041.146499	2
496	-1748042.312552	2
497	-1748041.390855	2
498	-1748041.428934	2
499	-1748041.576076	2
